string_field_0,string_field_2,string_field_3,string_field_45,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_44,string_field_43,string_field_5
United States of America,25-29,11,,,,,,,,,,,,,,,,,
South America,,,,,,,,,,,,,,,,,,,
Netherlands,< 20,41310,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,
Other Europe,< 20,41310,,,,,,,,,,,,,,,,,
Other Asia,,,,,,,,,,,,,,,,,,,
United Kingdom,20-24,<2,,,,,,,,,,,,,,,,,
Germany,30-34,11,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Italy,25-29,41310,,,,,,,,,,,,,,,,,
United Kingdom,40-50,11,,,,,,,,,,,,,,,,,
Africa,< 20,<2,,,,,,,,,,,,,,,,,
United Kingdom,25-29,41310,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,
United Kingdom,20-24,41310,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,
United States of America,< 20,41310,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Middle East,,,,,,,,,,,,,,,,,,,
Other Europe,< 20,41310,,,,,,,,,,,,,,,,,
Africa,25-29,41435,,,,,,,,,,,,,,,,,
India,30-34,41435,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,
Other Europe,< 20,<2,,,,,,,,,,,,,,,,,
Russia,25-29,41310,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
United States of America,25-29,<2,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
United Kingdom,20-24,41435,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
United States of America,25-29,41435,,,,,,,,,,,,,,,,,
Netherlands,25-29,11,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,
United States of America,35-39,41435,,,,,,,,,,,,,,,,,
Australia,25-29,41435,,,,,,,,,,,,,,,,,
Germany,< 20,41310,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
Other Europe,25-29,41435,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
Germany,30-34,41435,,,,,,,,,,,,,,,,,
Middle East,,,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Canada,< 20,41310,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
Other Europe,25-29,41310,,,,,,,,,,,,,,,,,
Other Asia,25-29,<2,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
United States of America,20-24,41310,,,,,,,,,,,,,,,,,
Other Europe,< 20,11,,,,,,,,,,,,,,,,,
United States of America,30-34,11,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Middle East,,,,,,,,,,,,,,,,,,,
Other Europe,25-29,41310,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
Australasia,< 20,41435,,,,,,,,,,,,,,,,,
Other Europe,20-24,41310,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
Other Asia,,,,,,,,,,,,,,,,,,,
Africa,51-60,11,,,,,,,,,,,,,,,,,
Australia,25-29,<2,,,,,,,,,,,,,,,,,
South America,20-24,41310,,,,,,,,,,,,,,,,,
United Kingdom,< 20,41310,,,,,,,,,,,,,,,,,
Other Europe,< 20,41435,,,,,,,,,,,,,,,,,
Middle East,,,,,,,,,,,,,,,,,,,
Central America,,,,,,,,,,,,,,,,,,,
Australia,40-50,41310,,,,,,,,,,,,,,,,,
Germany,30-34,11,,,,,,,,,,,,,,,,,
Russia,30-34,41310,,,,,,,,,,,,,,,,,
Other Europe,30-34,41435,,,,,,,,,,,,,,,,,
Other Europe,20-24,41435,,,,,,,,,,,,,,,,,
Other Europe,20-24,41310,,,,,,,,,,,,,,,,,
Africa,,,,,,,,,,,,,,,,,,,
France,25-29,41435,,,,,,,,,,,,,,,,,
United States of America,40-50,41435,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
Other Asia,30-34,41435,,,,,,,,,,,,,,,,,
Other Europe,30-34,41435,,,,,,,,,,,,,,,,,
Other Europe,30-34,41435,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
United States of America,20-24,41435,,,,,,,,,,,,,,,,,
Italy,30-34,41310,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
Africa,20-24,41435,,,,,,,,,,,,,,,,,
Other Europe,25-29,41310,,,,,,,,,,,,,,,,,
France,25-29,41435,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Germany,< 20,41310,,,,,,,,,,,,,,,,,
Africa,>60,41310,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Other Asia,25-29,41310,,,,,,,,,,,,,,,,,
Africa,25-29,41310,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Other Asia,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,
United States of America,30-34,11,,,,,,,,,,,,,,,,,
Other Asia,30-34,41435,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
Other Europe,25-29,<2,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,
Germany,20-24,11,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
Africa,,,,,,,,,,,,,,,,,,,
Canada,40-50,41435,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
United Kingdom,25-29,41310,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Other Europe,20-24,41310,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
United States of America,30-34,41435,,,,,,,,,,,,,,,,,
United States of America,20-24,41310,,,,,,,,,,,,,,,,,
South America,25-29,<2,,,,,,,,,,,,,,,,,
United Kingdom,< 20,41310,,,,,,,,,,,,,,,,,
Russia,20-24,<2,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
United Kingdom,20-24,41310,,,,,,,,,,,,,,,,,
Other Asia,25-29,<2,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Russia,20-24,41310,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
Canada,20-24,41310,,,,,,,,,,,,,,,,,
South America,,,,,,,,,,,,,,,,,,,
United States of America,< 20,41310,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,,
Other Asia,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,
Africa,,,,,,,,,,,,,,,,,,,
United States of America,< 20,41435,,,,,,,,,,,,,,,,,
India,20-24,41310,,,,,,,,,,,,,,,,,
France,35-39,11,"$20,000 - $40,000",Java,JavaScript,CSS,,Python,,,,,C,Perl,,Prolog,So happy it hurts,Mac OS X,"Other (not working, consultant, etc.)"
United States of America,40-50,11,"$40,000 - $60,000",,JavaScript,CSS,,,,,,,C,Perl,,"HTML, LaTeX",It pays the bills,Windows XP,Start Up (1-25)
Australia,35-39,11,"$100,000 - $120,000",,,,,,,,,,,,,Visual Basic,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,20-24,<2,,,,,,,,,,,,,,,,,Mid Sized (100-999)
United States of America,30-34,11,"$80,000 - $100,000",Java,JavaScript,CSS,,,,,,C++,C,Perl,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,25-29,41435,,,,,,Python,,,,,,,,R,I enjoy going to work,Mac OS X,"Other (not working, consultant, etc.)"
United Kingdom,40-50,11,,,,CSS,,Python,,,,,C,,,,So happy it hurts,Linux,"Other (not working, consultant, etc.)"
Canada,40-50,11,">$140,000",,,,,,,,C#,C++,,,,VB,So happy it hurts,Windows 7,Start Up (1-25)
Russia,20-24,41310,"<$20,000",,,,,,Ruby,SQL,,C++,C,Perl,,"make, OCaml",I enjoy going to work,Linux,Mature Small Business (25-100)
United States of America,40-50,11,"$60,000 - $80,000",Java,,,,Python,,,,,C,Perl,,,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
United Kingdom,30-34,11,"$60,000 - $80,000",Java,,,PHP,,,,,C++,,,,,So happy it hurts,Mac OS X,"Fortune 1000 (1,000+)"
United States of America,35-39,11,"$100,000 - $120,000",Java,,,,,,,,,,,,ColdFusion,It pays the bills,Mac OS X,"Fortune 1000 (1,000+)"
United States of America,35-39,11,">$140,000",,JavaScript,,,,,,,,,Perl,,XPATH XSLT,I enjoy going to work,Linux,Mature Small Business (25-100)
United States of America,25-29,41435,"$100,000 - $120,000",Java,JavaScript,CSS,,Python,,SQL,C#,C++,,,,,I'm not happy in my job,Windows 7,"Fortune 1000 (1,000+)"
United States of America,40-50,<2,,,,,,,,,,,,,None,,FML,Mac OS X,"Other (not working, consultant, etc.)"
United States of America,35-39,<2,"$40,000 - $60,000",,JavaScript,CSS,,,,,,,,,,HTML,So happy it hurts,Mac OS X,Mid Sized (100-999)
Netherlands,25-29,41435,,,,,PHP,,,SQL,,,,,,"Delphi, LabVIEW",I enjoy going to work,Windows 7,Student
United States of America,30-34,41435,"$80,000 - $100,000",Java,,,PHP,Python,,,,C++,C,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
United Kingdom,35-39,11,"$100,000 - $120,000",Java,JavaScript,CSS,,,,,C#,C++,C,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,30-34,11,"$100,000 - $120,000",,,,,Python,,,,C++,C,,,,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
France,25-29,41435,"$20,000 - $40,000",,,,,Python,,,,C++,C,,,Fortran,So happy it hurts,Mac OS X,Mid Sized (100-999)
United States of America,30-34,11,"$80,000 - $100,000",,JavaScript,CSS,,Python,,SQL,,,C,,,Common Lisp,So happy it hurts,Linux,"Fortune 1000 (1,000+)"
United States of America,35-39,41435,"$120,000 - $140,000",,,,,,,SQL,,,,,,,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
United States of America,30-34,11,,,,CSS,,,Ruby,,C#,,,,,,So happy it hurts,Linux,Start Up (1-25)
United States of America,40-50,11,,,,,,,,,,,,,,"VHDL, Verilog",I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,25-29,41310,"$20,000 - $40,000",,,,,,,,,,C,Perl,,,I enjoy going to work,Linux,Mature Small Business (25-100)
United States of America,30-34,11,"$40,000 - $60,000",,,,,Python,,,,,,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
United Kingdom,40-50,11,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,C++,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,40-50,11,"$80,000 - $100,000",,,,,,,SQL,,,C,Perl,,VB,It pays the bills,Windows XP,Mid Sized (100-999)
United Kingdom,35-39,11,,Java,,,,,,SQL,,,C,Perl,,Objective-C,I enjoy going to work,Mac OS X,Start Up (1-25)
Middle East,30-34,41435,"$80,000 - $100,000",Java,JavaScript,,,Python,,,C#,C++,,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
United States of America,35-39,11,"$100,000 - $120,000",Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,,It pays the bills,Windows 7,Start Up (1-25)
United Kingdom,35-39,11,"$120,000 - $140,000",Java,JavaScript,,,Python,,,,,,,,,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
Other Europe,25-29,11,"<$20,000",,JavaScript,CSS,PHP,,,,,,,,,,It pays the bills,Windows 7,"Other (not working, consultant, etc.)"
United States of America,35-39,41310,"<$20,000",,JavaScript,CSS,,,Ruby,SQL,,,,,,VB.Net,It pays the bills,Windows Vista,Start Up (1-25)
United Kingdom,40-50,11,,,,,,Python,,,,,,,,"bash, BASIC",I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
Australia,40-50,<2,"$60,000 - $80,000",,,CSS,,,,SQL,,,C,,,Lua,I enjoy going to work,Windows 7,Start Up (1-25)
Canada,25-29,41435,"$80,000 - $100,000",Java,JavaScript,CSS,,,,SQL,C#,,,,,Delphi,It pays the bills,Windows Vista,Mature Small Business (25-100)
United Kingdom,25-29,11,,Java,JavaScript,CSS,,Python,Ruby,,,,,,,"Scala, Haskell, more",I enjoy going to work,Linux,Start Up (1-25)
United Kingdom,30-34,11,"$40,000 - $60,000",,,,,,,,C#,,C,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
Other Europe,25-29,11,"$60,000 - $80,000",Java,,CSS,,,,SQL,,C++,C,Perl,,,I'm not happy in my job,Linux,"Fortune 1000 (1,000+)"
United Kingdom,30-34,11,"$60,000 - $80,000",,,,PHP,,,SQL,C#,C++,C,Perl,,VB.Net,I enjoy going to work,Windows XP,Mid Sized (100-999)
United States of America,30-34,41435,"$120,000 - $140,000",,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,30-34,11,"$40,000 - $60,000",,JavaScript,CSS,PHP,Python,,,,,C,,,Objective-C,It pays the bills,Mac OS X,"Other (not working, consultant, etc.)"
Australia,30-34,11,"$120,000 - $140,000",,JavaScript,CSS,,Python,,SQL,C#,C++,C,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
Other Europe,20-24,41310,,,JavaScript,,,,,,,C++,C,,,R,I enjoy going to work,Linux,Mid Sized (100-999)
United Kingdom,40-50,11,"$40,000 - $60,000",,,,,Python,,,,,,,,R,I enjoy going to work,Mac OS X,"Other (not working, consultant, etc.)"
United Kingdom,35-39,11,"$40,000 - $60,000",,,,,Python,,,,C++,,,,Matlab,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
United States of America,30-34,11,"$80,000 - $100,000",,,,,,,SQL,,,C,Perl,,,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
United States of America,20-24,41435,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
Canada,35-39,<2,"$40,000 - $60,000",Java,,,,,,,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United Kingdom,30-34,11,"$40,000 - $60,000",,,,,,,,C#,,,,,,I'm not happy in my job,Windows 7,Start Up (1-25)
Netherlands,30-34,11,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,Perl,,,I enjoy going to work,Windows 7,Start Up (1-25)
Netherlands,25-29,<2,"$20,000 - $40,000",,,,,Python,,,,,,,,,It pays the bills,Windows 7,Start Up (1-25)
United States of America,30-34,41435,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,I'm not happy in my job,Windows 7,Mature Small Business (25-100)
Other Europe,20-24,41310,"$20,000 - $40,000",Java,,,PHP,Python,,SQL,,C++,C,,,,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
Australasia,35-39,11,"$60,000 - $80,000",Java,JavaScript,CSS,,,,,,,,,,,I enjoy going to work,Mac OS X,Mid Sized (100-999)
South America,30-34,41435,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
Other Europe,40-50,11,">$140,000",Java,JavaScript,,,,,,C#,C++,C,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Other Europe,30-34,41435,"$20,000 - $40,000",,,,,,,,,,,,,Delphi,So happy it hurts,Windows 7,Mature Small Business (25-100)
United States of America,35-39,41310,"$60,000 - $80,000",,,,,,,,,,C,,,Applescript,I'm not happy in my job,Mac OS X,Mid Sized (100-999)
India,25-29,<2,"<$20,000",,,CSS,,,,,,,,,,,It pays the bills,Windows XP,Start Up (1-25)
United States of America,40-50,11,">$140,000",Java,JavaScript,CSS,,,,SQL,C#,C++,C,,,,So happy it hurts,Windows 7,Start Up (1-25)
United Kingdom,30-34,11,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,,Ruby,SQL,C#,,C,,,,I'm not happy in my job,Windows XP,Start Up (1-25)
United States of America,35-39,11,"$60,000 - $80,000",,JavaScript,,,,,,C#,,C,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,40-50,11,"$20,000 - $40,000",,,,PHP,,,SQL,,,,,,VBA,I enjoy going to work,Windows XP,"Other (not working, consultant, etc.)"
Other Europe,25-29,41435,"$80,000 - $100,000",Java,,,,,,,C#,C++,C,,,,I'm not happy in my job,Windows XP,Mid Sized (100-999)
Other Europe,30-34,41435,"<$20,000",,,,,,Ruby,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
Other Europe,35-39,41310,"$40,000 - $60,000",,,CSS,,,Ruby,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
Other Europe,35-39,11,"$80,000 - $100,000",,,,PHP,,,SQL,,,,,,Delphi,I enjoy going to work,Windows 7,Mature Small Business (25-100)
France,40-50,11,">$140,000",Java,JavaScript,CSS,,Python,,SQL,C#,C++,C,,,,It pays the bills,Windows 7,Start Up (1-25)
United States of America,35-39,11,"$100,000 - $120,000",,,CSS,,,Ruby,,,,,,,"VB, Objective C",It pays the bills,Mac OS X,"Fortune 1000 (1,000+)"
United States of America,40-50,11,">$140,000",,,,,,,,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United Kingdom,25-29,41435,"$60,000 - $80,000",Java,,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,35-39,11,"$120,000 - $140,000",Java,JavaScript,CSS,,,,SQL,,,,Perl,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
Middle East,35-39,11,,,,,,,,,,C++,C,,,,I enjoy going to work,Windows XP,"Other (not working, consultant, etc.)"
United States of America,30-34,41435,">$140,000",Java,,,,,,,,C++,,,,R,I enjoy going to work,Windows XP,Mature Small Business (25-100)
United States of America,20-24,<2,"$40,000 - $60,000",,,CSS,,,,,,,C,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,40-50,11,"$100,000 - $120,000",Java,,,,,,,C#,C++,C,,,,It pays the bills,Windows 7,Start Up (1-25)
Other Europe,25-29,41310,"$20,000 - $40,000",,,,,,,SQL,C#,,,,,,I'm not happy in my job,Windows XP,"Other (not working, consultant, etc.)"
United Kingdom,35-39,11,"$100,000 - $120,000",,,,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
Other Europe,20-24,41310,"<$20,000",,,,,,Ruby,,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,20-24,41435,"$60,000 - $80,000",Java,,,PHP,,,,,,,,,bash,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,35-39,41435,"$80,000 - $100,000",,,,,,,,,,,,None,,So happy it hurts,Linux,Mid Sized (100-999)
United States of America,30-34,11,"$120,000 - $140,000",,,,,Python,,SQL,,,C,Perl,,,It pays the bills,Mac OS X,"Fortune 1000 (1,000+)"
Australia,25-29,11,"$60,000 - $80,000",Java,JavaScript,CSS,,Python,,SQL,,,,,,,It pays the bills,Windows XP,Mature Small Business (25-100)
South America,25-29,11,"<$20,000",,,CSS,PHP,Python,,,,,C,,,awk,I enjoy going to work,Linux,Mature Small Business (25-100)
Australia,30-34,41435,"$60,000 - $80,000",,JavaScript,CSS,,Python,,,,C++,C,,,,I enjoy going to work,Linux,Mid Sized (100-999)
United States of America,30-34,41310,"$100,000 - $120,000",,JavaScript,,,Python,,,,C++,C,,,,I enjoy going to work,Linux,Start Up (1-25)
Other Europe,25-29,<2,"<$20,000",,JavaScript,CSS,PHP,,,,,,,,,,So happy it hurts,Linux,Start Up (1-25)
United Kingdom,35-39,11,">$140,000",Java,,,,,,,,,,,,,I enjoy going to work,Windows XP,"Other (not working, consultant, etc.)"
South America,40-50,11,"$20,000 - $40,000",,,CSS,,,,SQL,C#,,,,,vb.net,So happy it hurts,Windows 7,Start Up (1-25)
United States of America,20-24,41435,Student / Unemployed,Java,JavaScript,CSS,,Python,,,C#,,,,,AutoHotkey,I'm not happy in my job,Windows 7,"Other (not working, consultant, etc.)"
United States of America,20-24,41310,"$60,000 - $80,000",,,,,Python,,,C#,C++,C,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
United Kingdom,30-34,11,"$80,000 - $100,000",Java,,CSS,PHP,Python,,,,,,,,Haskell,I enjoy going to work,Mac OS X,Start Up (1-25)
France,40-50,11,">$140,000",,,,,,,SQL,,C++,,Perl,,,So happy it hurts,Mac OS X,Start Up (1-25)
India,20-24,<2,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
United States of America,40-50,11,">$140,000",Java,JavaScript,CSS,,Python,Ruby,,,C++,C,Perl,,,I enjoy going to work,Mac OS X,Mid Sized (100-999)
France,30-34,41435,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,,,C++,C,,,R,So happy it hurts,Linux,"Fortune 1000 (1,000+)"
Africa,25-29,41435,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,35-39,11,"$40,000 - $60,000",,,,,,,,,C++,C,,,fortran,I enjoy going to work,Mac OS X,"Other (not working, consultant, etc.)"
France,40-50,11,"$60,000 - $80,000",,JavaScript,,,,,SQL,C#,C++,C,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
Other Europe,35-39,11,"$100,000 - $120,000",Java,JavaScript,,PHP,,,SQL,,C++,C,Perl,,ObjectiveC,So happy it hurts,Mac OS X,"Fortune 1000 (1,000+)"
United States of America,30-34,11,"$100,000 - $120,000",Java,,,,Python,,SQL,C#,,,,,,It pays the bills,Windows XP,Mature Small Business (25-100)
United States of America,25-29,41435,"$20,000 - $40,000",,JavaScript,CSS,,,,SQL,C#,,,Perl,,,It pays the bills,Windows 7,Mature Small Business (25-100)
Other Europe,35-39,11,"$40,000 - $60,000",,,,,,,,,,,,,Objective-C,It pays the bills,Mac OS X,Start Up (1-25)
South America,30-34,11,"$60,000 - $80,000",Java,JavaScript,CSS,,Python,,SQL,,,C,Perl,,,I enjoy going to work,Linux,Mid Sized (100-999)
Middle East,25-29,<2,,,,,,,,,,,,,,,,Windows 7,"Fortune 1000 (1,000+)"
United States of America,20-24,41310,"$40,000 - $60,000",,,,,Python,,SQL,C#,,C,,,,FML,Windows XP,Mid Sized (100-999)
Australia,20-24,11,"<$20,000",Java,,,,Python,,SQL,C#,C++,C,,,"Assembly, VB",I enjoy going to work,Windows 7,Student
United Kingdom,30-34,11,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,,Ruby,SQL,C#,,,Perl,,,It pays the bills,Windows XP,Mature Small Business (25-100)
United States of America,40-50,11,"$100,000 - $120,000",Java,JavaScript,CSS,,,Ruby,,C#,,,Perl,,,I enjoy going to work,Windows XP,Start Up (1-25)
United Kingdom,35-39,11,">$140,000",,,,,,,,C#,,,,,powershell,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
United States of America,30-34,11,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,SQL,C#,C++,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United Kingdom,25-29,11,"$40,000 - $60,000",,,,,,,,,C++,C,,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
Other Europe,20-24,41310,"$20,000 - $40,000",Java,,CSS,PHP,Python,,SQL,,C++,,Perl,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
