string_field_2,string_field_3,string_field_0,string_field_100,string_field_56,string_field_57,string_field_58,string_field_59,string_field_60,string_field_61,string_field_62,string_field_63,string_field_64,string_field_65,string_field_66,string_field_67,string_field_68,string_field_69,string_field_99,string_field_81,string_field_5
25-29,2/5/2013,United States of America,"$40,000 - $60,000",,,,,,,,,,,Python,,SQL,R,I enjoy going to work,Linux,"1,000-3,000"
35-39,11,United States of America,">$140,000",,,,Java,JavaScript,jQuery,,Node.js,Objective-C,,,,SQL,Scala,Love my job,Mac OS X,1/25/2013
20-24,6/10/2013,United States of America,Rather not say,C,,,,,,,,Objective-C,,Python,,,,I enjoy going to work,Mac OS X,1/25/2013
20-24,6/10/2013,Other Europe,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows 7,1/25/2013
< 20,2/5/2013,Other Europe,Rather not say,,,,Java,,,,,,,,,,,Love my job,Windows 8,1/25/2013
30-34,11,Netherlands,Student / Unemployed,,,,,JavaScript,jQuery,,Node.js,Objective-C,,Python,,,,Love my job,Mac OS X,1/25/2013
20-24,6/10/2013,South America,Rather not say,,,,,JavaScript,jQuery,,Node.js,,PHP,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
20-24,<2,North America (Other),"$40,000 - $60,000",,C++,,,,,,,,,,,,,I enjoy going to work,Windows 7,101-999
25-29,6/10/2013,Australasia,"$80,000 - $100,000",,,,,,,,,,,Python,,,Erlang,It's a paycheck,Linux,26-100
25-29,11,United Kingdom,"$40,000 - $60,000",,,C#,Java,,,,,,,Python,,,Bash,It's a paycheck,Linux,3001
35-39,11,United Kingdom,"$100,000 - $120,000",,,C#,Java,,,,,,,,,SQL,,I enjoy going to work,Windows 8,26-100
25-29,2/5/2013,Other Europe,"$40,000 - $60,000",,,C#,Java,JavaScript,jQuery,JQuery,,,,,,SQL,,I enjoy going to work,Windows 7,101-999
51-60,11,Canada,">$140,000",,C++,C#,,,,,,,,,,,,Love my job,Windows 7,1/25/2013
20-24,2/5/2013,Other Europe,Student / Unemployed,,C++,,,JavaScript,jQuery,,Node.js,,,,,SQL,,I enjoy going to work,Linux,101-999
20-24,2/5/2013,France,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 7,26-100
30-34,2/5/2013,Italy,"$20,000 - $40,000",C,,,Java,JavaScript,,,,,PHP,,,SQL,,Love my job,Linux,1/25/2013
35-39,11,United States of America,"$60,000 - $80,000",,,,,JavaScript,,,,,,,Ruby,SQL,,Love my job,Mac OS X,1/25/2013
25-29,6/10/2013,United States of America,"$60,000 - $80,000",,,C#,,,,,,Objective-C,,,,SQL,VB,It's a paycheck,Windows 7,101-999
35-39,11,Australasia,"$100,000 - $120,000",,,C#,,,,,,,,,,,,I enjoy going to work,Windows 7,101-999
51-60,11,United States of America,"$80,000 - $100,000",,,,,,,,,,,,,SQL,Visual FoxPro,Love my job,Windows 7,1/25/2013
35-39,11,United States of America,"$120,000 - $140,000",,,,,,,,,,,Python,,SQL,,I enjoy going to work,Windows 7,101-999
25-29,2/5/2013,United States of America,"$40,000 - $60,000",,,C#,Java,,,JQuery,,Objective-C,,Python,,SQL,,I enjoy going to work,Windows 7,1/25/2013
35-39,11,United States of America,"$120,000 - $140,000",,,,,,,,,,,,,SQL,,I enjoy going to work,Windows 7,3001
20-24,2/5/2013,Other Europe,"<$20,000",,C++,C#,,,jQuery,,,,,,,SQL,,I enjoy going to work,Windows XP,101-999
30-34,6/10/2013,India,Rather not say,,,,,JavaScript,,,,,PHP,,,,R,I enjoy going to work,Linux,26-100
30-34,6/10/2013,United Kingdom,"$40,000 - $60,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
30-34,2/5/2013,Germany,Rather not say,,,,Java,,,,,,,,,,,Love my job,Linux,101-999
35-39,11,France,,,,,,JavaScript,jQuery,,,,,Python,,,,Love my job,Other,1/25/2013
25-29,6/10/2013,United Kingdom,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,Node.js,,,,,,,I enjoy going to work,Windows 7,101-999
35-39,11,Germany,Rather not say,,,,Java,,,,,,PHP,Python,,,,It's a paycheck,Mac OS X,"Other (not working, consultant, etc.)"
30-34,6/10/2013,United States of America,"$80,000 - $100,000",,,,,JavaScript,jQuery,,,,,,Ruby,SQL,,Love my job,Mac OS X,3001
25-29,6/10/2013,United Kingdom,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,,,,,,,Nemerle,I enjoy going to work,Windows 7,101-999
< 20,<2,Canada,Student / Unemployed,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows XP,26-100
40-50,11,Canada,"$80,000 - $100,000",,,,,JavaScript,jQuery,,,,,,Ruby,,,I enjoy going to work,Windows 7,1/25/2013
25-29,2/5/2013,United States of America,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,VB.NET,Hate my job,Windows 7,"1,000-3,000"
40-50,11,United States of America,">$140,000",,,,Java,,,,,,,,,SQL,Flex,It's a paycheck,Windows 7,101-999
30-34,11,France,"$40,000 - $60,000",,,C#,,JavaScript,jQuery,,,,,,,,,Love my job,Windows 7,1/25/2013
51-60,11,United States of America,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,,,,Python,,,bash shell scripting,I enjoy going to work,Windows 7,101-999
< 20,2/5/2013,Germany,Student / Unemployed,,,C#,,,,,,,,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
25-29,6/10/2013,Germany,"$60,000 - $80,000",C,C++,,,JavaScript,,,,,,,,,,I enjoy going to work,Mac OS X,101-999
35-39,6/10/2013,United States of America,"$80,000 - $100,000",C,C++,C#,,,,,,,,,,,"bash, csh",It's a paycheck,Linux,26-100
40-50,11,Germany,"$120,000 - $140,000",,C++,,,,,,,,,,,SQL,,Love my job,Linux,1/25/2013
25-29,6/10/2013,Italy,"$20,000 - $40,000",,C++,,Java,JavaScript,jQuery,,,,PHP,Python,,SQL,ActionScript,Love my job,Windows 7,1/25/2013
40-50,11,Italy,">$140,000",,,,,JavaScript,jQuery,,,,,,,SQL,Perl,I enjoy going to work,Linux,1/25/2013
40-50,11,United States of America,"$80,000 - $100,000",,,,,,,,,,PHP,Python,,,,Love my job,Linux,1/25/2013
40-50,11,Other Europe,Rather not say,C,,,,JavaScript,,,,,,,,,Haskell,Love my job,Windows 7,1/25/2013
40-50,11,United States of America,,,C++,C#,,,,,,,,Python,,SQL,,Love my job,Linux,26-100
25-29,6/10/2013,Russia,Rather not say,,,C#,Java,JavaScript,,,,,,,,SQL,,I enjoy going to work,Windows 7,"1,000-3,000"
25-29,6/10/2013,Other Europe,Student / Unemployed,,,,,JavaScript,,,,,PHP,Python,,SQL,,I'm not happy in my job,Linux,"Other (not working, consultant, etc.)"
< 20,2/5/2013,United States of America,Student / Unemployed,C,,,,JavaScript,jQuery,,,,PHP,Python,,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
30-34,6/10/2013,Germany,"<$20,000",,,,Java,JavaScript,jQuery,,,,PHP,Python,,SQL,,I'm not happy in my job,Mac OS X,"1,000-3,000"
25-29,2/5/2013,United States of America,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 7,3001
35-39,11,Australasia,,,,C#,,JavaScript,jQuery,,,,,,,SQL,"Knockout.js, Underscore, VB.NET",I enjoy going to work,Windows 8,101-999
30-34,11,France,"$60,000 - $80,000",,,,Java,JavaScript,jQuery,,Node.js,Objective-C,,,Ruby,,,I enjoy going to work,Mac OS X,26-100
20-24,<2,India,"<$20,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I'm not happy in my job,Windows 7,26-100
20-24,6/10/2013,United States of America,"$80,000 - $100,000",,,C#,Java,JavaScript,jQuery,,,,,Python,,SQL,,Love my job,Windows 7,26-100
25-29,6/10/2013,Australia,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,VB.Net,Love my job,Windows 7,1/25/2013
20-24,2/5/2013,United Kingdom,"$80,000 - $100,000",,,,,,,,,,,Python,,,,I enjoy going to work,Windows 7,26-100
30-34,11,United States of America,">$140,000",,C++,,,,,,,,,Python,,,,Love my job,Windows 7,1/25/2013
35-39,11,United States of America,,,,,Java,,,,,,,Python,,,,I enjoy going to work,Linux,26-100
30-34,6/10/2013,Russia,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,,,,,SQL,haskell,I enjoy going to work,Linux,1/25/2013
20-24,2/5/2013,India,Rather not say,,,,Java,,,,,,,,Ruby,,Scala,I enjoy going to work,Windows 7,1/25/2013
25-29,6/10/2013,India,"$20,000 - $40,000",,,,Java,,,,,,,,,,GWT,I enjoy going to work,Windows XP,101-999
30-34,11,United States of America,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,It's a paycheck,Windows 7,1/25/2013
20-24,2/5/2013,Other Europe,"$20,000 - $40,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 7,1/25/2013
20-24,2/5/2013,Canada,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
30-34,11,Germany,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I'm not happy in my job,Mac OS X,1/25/2013
25-29,2/5/2013,Other Europe,">$140,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 8,26-100
40-50,11,United States of America,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
30-34,11,Netherlands,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,PHP,,,,,Love my job,Windows 7,1/25/2013
40-50,11,Russia,"$60,000 - $80,000",,,,Java,,,,,,,,,SQL,,I enjoy going to work,Windows XP,3001
30-34,11,Other Europe,"$100,000 - $120,000",,C++,,Java,,,,,,,,,,,I enjoy going to work,Linux,3001
40-50,11,Middle East,Rather not say,C,C++,C#,Java,JavaScript,jQuery,,,,PHP,,,,,I enjoy going to work,Windows 7,1/25/2013
51-60,11,United States of America,"$100,000 - $120,000",,,C#,,,,,,,,,,,,Love my job,Windows 7,1/25/2013
40-50,6/10/2013,United States of America,"$40,000 - $60,000",,,C#,,,,,,,,,,SQL,,I enjoy going to work,Windows 7,26-100
25-29,11,Russia,"<$20,000",,,,,,,,,,,Python,,SQL,,I enjoy going to work,Linux,1/25/2013
25-29,6/10/2013,United States of America,"$40,000 - $60,000",,,C#,Java,,,,,,,,,SQL,,I enjoy going to work,Windows 7,3001
20-24,2/5/2013,India,Rather not say,,,C#,Java,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows XP,1/25/2013
30-34,11,France,"$60,000 - $80,000",C,C++,,,,jQuery,,,,PHP,,,SQL,,It's a paycheck,Linux,101-999
40-50,11,United States of America,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,101-999
20-24,6/10/2013,United Kingdom,"$100,000 - $120,000",,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,I enjoy going to work,Linux,26-100
30-34,11,Germany,"$20,000 - $40,000",C,C++,,,JavaScript,,,,,PHP,,,SQL,Perl,I enjoy going to work,Windows 7,26-100
40-50,2/5/2013,Mexico,"$20,000 - $40,000",,,,,,,,,Objective-C,,,Ruby,,,Hate my job,Other,3001
30-34,11,Netherlands,,,,,,,,,,,,,,,,,,
,,Australia,,,,,,,,,,,,,,,,,,
< 20,<2,Australasia,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,Other Asia,,,,,,,,,,,,,,,,,,
20-24,6/10/2013,Other Asia,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Australia,,,,,,,,,,,,,,,,,,
51-60,11,Other Europe,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,
25-29,11,Canada,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,
20-24,<2,Canada,,,,,,,,,,,,,,,,,,
25-29,<2,India,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Russia,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
40-50,11,United Kingdom,,,,,,,,,,,,,,,,,,
30-34,11,United States of America,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,Russia,,,,,,,,,,,,,,,,,,
51-60,11,Australia,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,Netherlands,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,India,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
35-39,6/10/2013,Other Europe,,,,,,,,,,,,,,,,,,
30-34,11,United States of America,,,C++,C#,,,,,,,,,,,"Maple, PARI/GP",Love my job,Windows 7,26-100
40-50,11,Other Europe,,,,,,,,,,,,,,,,,,1/25/2013
40-50,11,United States of America,Rather not say,,,,,JavaScript,,,,,,,,,,Love my job,Windows XP,1/25/2013
30-34,2/5/2013,Africa,,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,,Windows 7,1/25/2013
< 20,2/5/2013,Other Asia,Rather not say,,,,Java,JavaScript,,,,,PHP,Python,Ruby,SQL,,I enjoy going to work,Mac OS X,1/25/2013
20-24,2/5/2013,Other Asia,,,,,,JavaScript,jQuery,,,,PHP,,,,,,Windows 8,1/25/2013
35-39,11,United States of America,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,,,,,,I enjoy going to work,Mac OS X,101-999
40-50,11,Germany,,,,C#,,JavaScript,,,,,,,,SQL,vb.net,,Windows 7,101-999
40-50,2/5/2013,Middle East,"$20,000 - $40,000",,,,,JavaScript,,,,,,Python,,,,Love my job,Mac OS X,1/25/2013
20-24,<2,Canada,,,,,,,,,,,,,,,,,,3001
20-24,11,United States of America,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,Love my job,Windows 7,1/25/2013
30-34,11,United States of America,"$60,000 - $80,000",C,C++,C#,,,,,,,PHP,,,SQL,,It's a paycheck,Windows 7,26-100
20-24,2/5/2013,Other Europe,,C,,,Java,,,,,,,Python,,,,,Linux,"1,000-3,000"
20-24,2/5/2013,Other Europe,Rather not say,,C++,,Java,JavaScript,jQuery,,,,PHP,,,,,It's a paycheck,Linux,26-100
20-24,2/5/2013,Mexico,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Mac OS X,1/25/2013
20-24,<2,Other Europe,"<$20,000",,,,,,,JQuery,,,PHP,,,SQL,,Love my job,Windows 7,1/25/2013
25-29,2/5/2013,United States of America,"$40,000 - $60,000",,,,,,,,,,,,,,,Love my job,Windows 7,26-100
20-24,2/5/2013,United States of America,"<$20,000",C,C++,C#,Java,,,,,,PHP,,,,haskell,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
25-29,6/10/2013,Australia,Rather not say,,,,,JavaScript,jQuery,,,,PHP,,,,,Love my job,Windows 8,1/25/2013
25-29,6/10/2013,United Kingdom,"$40,000 - $60,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 8,"1,000-3,000"
< 20,2/5/2013,Russia,Student / Unemployed,,,,Java,JavaScript,,,,,,,,,,I'm not happy in my job,Linux,1/25/2013
30-34,6/10/2013,United States of America,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,It's a paycheck,Windows XP,"Other (not working, consultant, etc.)"
25-29,2/5/2013,United States of America,"$20,000 - $40,000",,,,,,,,,,,,,SQL,"Peoplesoft, Excel",I enjoy going to work,Windows 7,26-100
25-29,6/10/2013,Australia,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,vb.net,I enjoy going to work,Windows 7,101-999
51-60,11,United States of America,"$80,000 - $100,000",C,,,,,,,,,,,,,fortran,Love my job,Windows 7,3001
20-24,<2,United Kingdom,Rather not say,C,,C#,,JavaScript,jQuery,,Node.js,,PHP,Python,,SQL,,Love my job,Linux,1/25/2013
30-34,6/10/2013,United States of America,"$40,000 - $60,000",,,,,,,,,,PHP,,,SQL,,I enjoy going to work,Linux,1/25/2013
35-39,11,Germany,"$80,000 - $100,000",,C++,,Java,,,,,,,,,,,I enjoy going to work,Linux,101-999
40-50,11,United States of America,"$120,000 - $140,000",,,C#,,JavaScript,jQuery,JQuery,,,PHP,,,SQL,,I enjoy going to work,Windows 7,26-100
30-34,11,Australasia,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Linux,26-100
30-34,2/5/2013,United States of America,"$60,000 - $80,000",,,,,JavaScript,,,,,PHP,,Ruby,,,Love my job,Windows 7,1/25/2013
30-34,11,United States of America,"$80,000 - $100,000",,,C#,,,,,,,,,,SQL,XML,I'm not happy in my job,Windows 7,26-100
30-34,11,United States of America,Rather not say,,,,Java,JavaScript,jQuery,,,,,Python,,SQL,,Love my job,Windows 7,3001
30-34,11,United States of America,Rather not say,,,C#,Java,,,,,,,,,,,I enjoy going to work,Windows 7,3001
30-34,11,United States of America,Rather not say,,,C#,,,,,,,,,,SQL,,Love my job,Windows 7,"1,000-3,000"
35-39,11,Netherlands,Rather not say,,,C#,,,,,,,,,,,,I enjoy going to work,Windows 7,1/25/2013
40-50,11,United States of America,"$100,000 - $120,000",,,C#,Java,JavaScript,jQuery,,,,PHP,,,SQL,Powershell,I enjoy going to work,Windows XP,3001
30-34,6/10/2013,France,"$60,000 - $80,000",C,,C#,,,,,,,,,,,,I'm not happy in my job,Windows 7,101-999
30-34,2/5/2013,Other Europe,"$60,000 - $80,000",C,,,,,,,,,,Python,,SQL,,I enjoy going to work,Linux,26-100
30-34,6/10/2013,United States of America,Rather not say,C,C++,,,,,,,,,Python,,,,It's a paycheck,Linux,3001
25-29,<2,United Kingdom,"$40,000 - $60,000",,,,,,,,,,PHP,Python,,,Filemaker,It's a paycheck,Linux,1/25/2013
20-24,<2,Canada,,,,,,,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
30-34,6/10/2013,Germany,"$100,000 - $120,000",,,,,,jQuery,,,,,Python,,,Angular JS,I enjoy going to work,Mac OS X,1/25/2013
25-29,6/10/2013,Germany,Rather not say,,,C#,,,,,,,,,,SQL,Silverlight,Love my job,Windows 8,26-100
35-39,11,United States of America,"$100,000 - $120,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 7,101-999
25-29,2/5/2013,Australia,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,,,,,,I enjoy going to work,Mac OS X,1/25/2013
35-39,11,United States of America,Rather not say,,C++,C#,,,jQuery,,,,PHP,,,,,Love my job,Windows 8,1/25/2013
35-39,11,Africa,"$20,000 - $40,000",,,,Java,JavaScript,jQuery,,,,,,,SQL,Grails,I enjoy going to work,Mac OS X,1/25/2013
25-29,2/5/2013,United States of America,"$40,000 - $60,000",,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
30-34,6/10/2013,France,"$40,000 - $60,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,3001
30-34,2/5/2013,United States of America,"$100,000 - $120,000",,,,,JavaScript,jQuery,,,,,,Ruby,SQL,,I'm not happy in my job,Linux,"1,000-3,000"
30-34,11,France,"$100,000 - $120,000",,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Mac OS X,1/25/2013
20-24,6/10/2013,South America,"<$20,000",,,,,JavaScript,jQuery,,,,PHP,,,,,It's a paycheck,Linux,1/25/2013
25-29,2/5/2013,United Kingdom,"$40,000 - $60,000",,,C#,,JavaScript,jQuery,JQuery,,,,,,SQL,,I enjoy going to work,Windows 7,101-999
35-39,11,United Kingdom,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,,,,,It's a paycheck,Windows 7,3001
40-50,11,United Kingdom,"$80,000 - $100,000",C,C++,C#,,,jQuery,,,,,,,,Delphi,I enjoy going to work,Windows XP,3001
30-34,6/10/2013,India,"<$20,000",,C++,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,It's a paycheck,Windows 7,1/25/2013
20-24,2/5/2013,Canada,"$60,000 - $80,000",,,C#,Java,JavaScript,,,,,,,,,,I enjoy going to work,Windows 7,26-100
51-60,11,United States of America,,,C++,C#,,,,,,,,,,,,Love my job,Windows 7,"1,000-3,000"
30-34,6/10/2013,Germany,,C,C++,C#,,JavaScript,,,,,,,,,perl,Love my job,Windows XP,"Other (not working, consultant, etc.)"
25-29,2/5/2013,United States of America,"$40,000 - $60,000",,,,,JavaScript,,,,,,,Ruby,,,It's a paycheck,Windows 7,101-999
40-50,11,Australasia,"$120,000 - $140,000",C,C++,,Java,,,,,Objective-C,,,,,,I enjoy going to work,Windows 7,26-100
35-39,2/5/2013,Other Europe,Rather not say,C,,,,,,,,,,,,,"Perl, Fortran",I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
20-24,<2,Other Europe,Rather not say,,,,Java,JavaScript,jQuery,,,,,Python,,SQL,GWT,Love my job,Linux,1/25/2013
30-34,11,United States of America,">$140,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 7,1/25/2013
20-24,2/5/2013,United States of America,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 8,101-999
40-50,11,United States of America,"$40,000 - $60,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,It's a paycheck,Windows 8,1/25/2013
30-34,11,Africa,Rather not say,,,,,JavaScript,jQuery,,,,PHP,Python,Ruby,,,Love my job,Mac OS X,1/25/2013
25-29,2/5/2013,United States of America,"$100,000 - $120,000",,,C#,,,,,,,,,,,,Love my job,Windows 7,3001
35-39,11,United States of America,">$140,000",,,C#,,JavaScript,jQuery,,Node.js,,,,,SQL,,Love my job,Windows 8,101-999
25-29,6/10/2013,United Kingdom,"$100,000 - $120,000",,,,,JavaScript,jQuery,,,,,Python,,SQL,,I enjoy going to work,Windows 7,101-999
35-39,11,United States of America,">$140,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I'm not happy in my job,Mac OS X,1/25/2013
35-39,11,United States of America,"$100,000 - $120,000",,,,,,,,,,,,Ruby,SQL,,I enjoy going to work,Mac OS X,1/25/2013
25-29,11,Netherlands,"$40,000 - $60,000",,,,Java,JavaScript,jQuery,,,,,Python,,SQL,VBA,I enjoy going to work,Windows 7,1/25/2013
30-34,<2,United States of America,"$80,000 - $100,000",,,,,,,,,,,,Ruby,,,I enjoy going to work,Linux,26-100
35-39,11,Other Europe,"$20,000 - $40,000",,,,Java,JavaScript,jQuery,,Node.js,,,,,,,I enjoy going to work,Windows 7,"1,000-3,000"
40-50,11,Other Europe,"$100,000 - $120,000",,,,Java,JavaScript,jQuery,,,,,,Ruby,SQL,Go,It's a paycheck,Mac OS X,1/25/2013
25-29,6/10/2013,United States of America,"$100,000 - $120,000",,,,,JavaScript,jQuery,,,,PHP,,Ruby,SQL,,Love my job,Mac OS X,3001
20-24,2/5/2013,Mexico,,,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,I enjoy going to work,Linux,1/25/2013
20-24,6/10/2013,South America,"$60,000 - $80,000",,,,Java,JavaScript,jQuery,,,,,,Ruby,SQL,,I'm not happy in my job,Linux,26-100
30-34,11,United Kingdom,"$100,000 - $120,000",C,C++,,Java,JavaScript,jQuery,,,,,Python,,,,Love my job,Linux,101-999
