string_field_2,string_field_3,string_field_0,string_field_39,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_38,string_field_37,string_field_5
25-29,<2,Other Europe,,,JavaScript,CSS,,,,,SQL,,,,,HTML5,,VB.NET,,Windows 7,Start Up (1-25)
25-29,40944,Middle East,,Java,JavaScript,CSS,,,Objective-C,,SQL,C#,,,,HTML5,,,,Windows 7,"Fortune 1000 (1,000+)"
25-29,40944,United States of America,,Java,,CSS,,,Objective-C,,,,C++,C,Perl,,,,,Windows 7,"Fortune 1000 (1,000+)"
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
20-24,<2,Other Europe,,,,,,,,,,,,,,,,,,,Start Up (1-25)
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,40944,United States of America,,,,,,,,,,,,,,,,,,,
,,Africa,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,41070,United Kingdom,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
20-24,40944,United Kingdom,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,North America (Other),,,,,,,,,,,,,,,,,,,
25-29,<2,Germany,,Java,,,,,,,SQL,,C++,,,,,,,Windows 7,Student
25-29,41070,Mexico,,,,,,,,,,,,,,,,,,,
25-29,11,Germany,,,,,,,,,,,,,,,,,,,
,,Other Asia,,,,,,,,,,,,,,,,,,,
25-29,11,Middle East,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Asia,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
20-24,40944,India,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
30-34,41070,Italy,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
25-29,40944,Other Asia,,,,,,,,,,,,,,,,,,,
35-39,11,United States of America,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
20-24,40944,Middle East,,,,,,,,,,,,,,,,,,,
35-39,11,United States of America,,,,,,,,,,,,,,,,,,,Start Up (1-25)
30-34,41070,Russia,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,,
25-29,41070,Russia,,,,,,,,,,,,,,,,,,,
25-29,41070,Other Europe,,Java,JavaScript,,,,,,SQL,,,,,,,,,Windows Vista,Mid Sized (100-999)
20-24,<2,Other Europe,,,JavaScript,CSS,,,,Ruby,,,,,,HTML5,,,,Mac OS X,Start Up (1-25)
30-34,41070,Middle East,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,Australasia,,,,,,,,,,,,,,,,,,,
25-29,<2,India,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Middle East,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,,
< 20,<2,Netherlands,,,,,,,,,,,,,,,,,,,
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
35-39,41070,United States of America,,,,,,,,,,,,,,,,,,,Start Up (1-25)
20-24,<2,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,11,India,,,,,,,,,,,,,,,,,,,
20-24,40944,Canada,,Java,,,,,,,,C#,C++,C,,,,Actionscript,,Windows XP,"Fortune 1000 (1,000+)"
30-34,41070,Italy,,,,,,,,,,,,,,,,,,,
,,Other Asia,,,,,,,,,,,,,,,,,,,
25-29,<2,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,11,Other Europe,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
20-24,40944,Germany,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
25-29,41070,Australia,,,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
25-29,41070,India,,,,,,,,,,,,,,,,,,,Student
,,Italy,,,,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,Start Up (1-25)
20-24,40944,South America,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
25-29,41070,Canada,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,United States of America,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
30-34,40944,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,11,France,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
30-34,41070,Other Europe,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,France,,,,,,,,,,,,,,,,,,,
25-29,41070,United States of America,,,,,,,,,,,,,,,,,,,
25-29,40944,Russia,,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,,
,,Australia,,,,,,,,,,,,,,,,,,,
40-50,11,North America (Other),,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
30-34,11,Other Asia,,,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
,,United States of America,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
< 20,<2,Germany,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,,
20-24,<2,France,,,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
,,Other Asia,,,,,,,,,,,,,,,,,,,
< 20,<2,United States of America,,,,,,,,,,,,,,,,,,,
,,France,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
,,United States of America,,,,,,,,,,,,,,,,,,,
20-24,<2,United Kingdom,,,,,,,,,,,,,,,,,,,
25-29,40944,Germany,,,,,,,,,,,,,,,,,,,
30-34,11,United Kingdom,,,,,,,,,,,,,,,,,,,
25-29,40944,United Kingdom,,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,,
20-24,<2,United States of America,,,,,,,,,,,,,,,,,,,
35-39,41070,Germany,,,,,,,,,,C#,C++,C,,,,,,Windows 7,Mid Sized (100-999)
20-24,41070,United Kingdom,,,,,,,,,,C#,,,,,,,,Mac OS X,Mid Sized (100-999)
20-24,40944,Germany,,,,,,,,,,,,,,,,,,,Student
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,
,,Italy,,,,,,,,,,,,,,,,,,,
,,South America,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
,,Italy,,,,,,,,,,,,,,,,,,,
< 20,40944,India,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,Australia,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
30-34,<2,Australasia,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
,,Other Asia,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,Java,,,,,,,,,,,,HTML5,,,,Windows XP,Mid Sized (100-999)
20-24,41070,United States of America,,Java,,,,Python,,,,C#,,C,,,,,,Linux,Student
20-24,41070,Other Europe,,,,,,,,,,,,,,,,,,,Student
,,United Kingdom,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Middle East,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,
,,Netherlands,,,,,,,,,,,,,,,,,,,
25-29,40944,Russia,,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,,
25-29,40944,United States of America,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
20-24,40944,Russia,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
20-24,<2,United States of America,,Java,,,,Python,,,SQL,,C++,C,,,,,,Windows 7,Student
30-34,41070,France,,,,,,,,,,,,,,,,,,,
30-34,41070,Germany,,,,,,,,,,,,,,,,,,,Start Up (1-25)
25-29,40944,Middle East,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
20-24,<2,India,,,,,,,,,,,,,,,,,,,
35-39,11,Germany,,,,,,,,,,,,,,,,,,,
25-29,41070,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,40944,India,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,India,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Africa,,,,,,,,,,,,,,,,,,,
,,Australasia,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
20-24,40944,Other Asia,,Java,JavaScript,CSS,,,,,,,,,Perl,,,,,Linux,Student
30-34,41070,United States of America,,Java,JavaScript,,,,,,,C#,,,,,,,,Windows XP,"Fortune 1000 (1,000+)"
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,
40-50,11,United Kingdom,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
30-34,41070,United States of America,,,,,,,,,,,,,,,,,,,
20-24,40944,Africa,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
20-24,<2,India,,,,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,,,,
20-24,40944,United States of America,,,,,,,,,,,,,,,,,,,
,,Africa,,,,,,,,,,,,,,,,,,,
40-50,11,United States of America,,,,,,,,,,,,,,,,,,,
20-24,41070,Other Europe,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
,,Germany,,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
,,Middle East,,,,,,,,,,,,,,,,,,,
25-29,11,Germany,,,,CSS,,,,,SQL,C#,C++,C,,,,"Pascal, Delphi",,Windows 7,Student
25-29,<2,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,11,Other Europe,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
40-50,11,United States of America,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
< 20,11,Germany,,,,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,,,,
,,Russia,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,Java,,,,,,,SQL,,,,,,,,,Windows XP,Mid Sized (100-999)
,,India,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,France,,,,,,,,,,,,,,,,,,,
25-29,40944,Germany,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
30-34,11,United States of America,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
20-24,41070,United Kingdom,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Central America,,,,,,,,,,,,,,,,,,,
20-24,<2,Other Asia,,,,,,,,,,,,,,,,,,,
20-24,40944,Central America,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
,,Other Europe,,,,,,,,,,,,,,,,,,,
< 20,<2,India,,,,,,,,,,,,,,,,,,,Student
30-34,11,Russia,,,,,,,,,,,,,,,,,,,
,,Russia,,,,,,,,,,,,,,,,,,,
< 20,40944,Other Europe,,,,,,,,,,,,,,,,,,,Student
,,Central America,,,,,,,,,,,,,,,,,,,
25-29,<2,Africa,,,,,,,,,,,,,,,,,,,Start Up (1-25)
20-24,11,Canada,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
,,Australia,,,,,,,,,,,,,,,,,,,
35-39,40944,Africa,,,,,,,,,,,,,,,,,,,
20-24,<2,United States of America,,,,,,,,,,,,,,,,,,,
30-34,11,Other Europe,,,,,,,,,,,,,,,,,,,
30-34,41070,India,,,,,,,,,,,,,,,,,,,
,,South America,,,,,,,,,,,,,,,,,,,
20-24,40944,India,,,,,,,,,,,,,,,,,,,
20-24,<2,Other Europe,,,,,,,,,,,,,,,,,,,
,,Australia,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
20-24,40944,Netherlands,,,,,,,,,,,,,,,,,,,
,,Bangladesh,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
20-24,41070,Other Asia,,,,,,,,,,,,,,,,,,,Student
20-24,41070,Other Europe,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
30-34,11,Other Europe,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,<2,Canada,,,,,,,,,,,,,,,,,,,
20-24,40944,Other Europe,,Java,,,,,,,,,,C,,,,Haskell,,Linux,Student
,,United States of America,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,40944,South America,,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,,
25-29,41070,Other Asia,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
25-29,41070,Other Europe,,,,,,,,,,,,,,,,,,,
35-39,<2,United States of America,,,,,,,,,,,,,,,,,,,
30-34,11,Germany,,,,,,,,,,,,,,,,,,,
25-29,41070,India,,,,,,,,,,,,,,,,,,,
25-29,40944,India,,,,,,,,,,,,,,,,,,,
,,Russia,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,Russia,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
20-24,<2,United States of America,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
25-29,41070,United States of America,,,,,,,,,,,,,,,,,,,Student
25-29,<2,Germany,,,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
25-29,40944,United States of America,,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,,Windows 7,"Fortune 1000 (1,000+)"
25-29,11,Canada,,,,,,,,,,,,,,,,,,,Start Up (1-25)
25-29,40944,Middle East,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
35-39,11,United Kingdom,,,,,,,,,,,,,,,,,,,
20-24,<2,Italy,,,,,,,,,,,,,,,,,,,
,,Bangladesh,,,,,,,,,,,,,,,,,,,
< 20,<2,Africa,,,,,,,,,,,,,,,,,,,
25-29,40944,United Kingdom,,Java,,,,,,,,,,,,,,,,Windows 7,"Other (not working, consultant, etc.)"
,,Australia,,,,,,,,,,,,,,,,,,,
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,Student
20-24,<2,United States of America,,,,,,,,,,,,,,,,,,,Start Up (1-25)
30-34,41070,India,,,,,,,,,,,,,,,,,,,Start Up (1-25)
< 20,11,Canada,,,,,,,,,,,,,,,,,,,Student
,,United States of America,,,,,,,,,,,,,,,,,,,
40-50,40944,India,,,,,,,,,,,,,,,,,,,
,,Africa,,,,,,,,,,,,,,,,,,,
20-24,41070,United States of America,,,,,,,,,,,,,,,,,,,
40-50,11,Other Europe,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
< 20,40944,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,40944,Russia,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,40944,United States of America,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
20-24,<2,Other Europe,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
25-29,41070,Australia,,,JavaScript,CSS,,,,,,,,,,HTML5,,,,Mac OS X,Mid Sized (100-999)
25-29,40944,Other Europe,,,,CSS,PHP,,,,,,,,,,,,,Windows 7,Mid Sized (100-999)
,,Other Asia,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,,
,,Middle East,,,,,,,,,,,,,,,,,,,
25-29,41070,Germany,,,,,,,,,,,,,,,,,,,Start Up (1-25)
20-24,40944,India,,,,,,,,,,,,,,,,,,,
20-24,40944,Germany,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,Python,,,,,,,,,,,,Linux,Mid Sized (100-999)
,,India,,,,,,,,,,,,,,,,,,,
35-39,11,South America,,,,,,,,,,,,,,,,,,,
20-24,40944,United States of America,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,Italy,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
25-29,40944,India,,,,,,,,,,,,,,,,,,,
30-34,11,Other Europe,,,,,,,,,,,,,,,,,,,Start Up (1-25)
25-29,41070,India,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,
30-34,40944,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,40944,Russia,,,,,,,,,,,,,,,,,,,Start Up (1-25)
20-24,40944,Other Asia,,,,,,,,,,,,,,,,,,,
25-29,40944,India,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
25-29,11,Other Asia,,,JavaScript,CSS,PHP,,Objective-C,,SQL,C#,C++,C,,HTML5,,,,Windows Vista,"Fortune 1000 (1,000+)"
25-29,40944,South America,,,,,,,,,,,,,,,,,,,
20-24,40944,United Kingdom,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,40944,Canada,,,,,,,,,,,,,,,,,,,Mid Sized (100-999)
20-24,40944,Africa,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Central America,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,Start Up (1-25)
25-29,40944,Netherlands,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
20-24,41070,United States of America,,,,,,,,,,,,,,,,,,,Start Up (1-25)
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,41070,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,41070,Germany,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
25-29,40944,United States of America,,Java,,,PHP,Python,,,SQL,C#,C++,,Perl,,,,,Windows 7,Mature Small Business (25-100)
,,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,40944,France,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,
20-24,41070,United Kingdom,,,,,,,,,,,,,,,,,,,
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
25-29,40944,Other Asia,,,,,,,,,,,,,,,,,,,
25-29,41070,Other Europe,,,,,,,,,,,,,,,,,,,
30-34,11,Other Europe,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
30-34,40944,Other Asia,,,,,,,,,,,,,,,,,,,
25-29,40944,United States of America,,,,,,,,,,,,,,,,,,,
35-39,11,United States of America,,,,,,,,,,,,,,,,,,,
20-24,40944,Australia,,,,,,,,,,,,,,,,,,,
25-29,41070,India,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
,,South America,,,,,,,,,,,,,,,,,,,
,,Middle East,,,,,,,,,,,,,,,,,,,
,,Bangladesh,,,,,,,,,,,,,,,,,,,
,,Bangladesh,,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,,,,
30-34,40944,Germany,,,,,,,,,,,,,,,,,,,
30-34,41070,United Kingdom,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
,,United States of America,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,Other Asia,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,
,,Australia,,,,,,,,,,,,,,,,,,,
< 20,<2,United States of America,,,,,,,,,,,,,,,,,,,
25-29,40944,Canada,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
,,Germany,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
20-24,40944,United States of America,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
20-24,40944,South America,,Java,,,,,,,,,,,,,,,,Mac OS X,Start Up (1-25)
25-29,11,Other Asia,,,,,,Python,,,,C#,C++,,,,,R,,Linux,Start Up (1-25)
< 20,<2,Canada,,,,,,Python,Objective-C,,,,,,,,,,,Mac OS X,Student
20-24,40944,United States of America,,Java,,CSS,,,,,,,,,,HTML5,,,,Windows 7,Start Up (1-25)
25-29,<2,Middle East,,,,,,,,,SQL,C#,C++,,,,,,,Other,Mid Sized (100-999)
,,United States of America,,,,,,,,,,,,,,,,,,,
20-24,41070,France,,,,,,,,,,,,,,,,,,,
,,Italy,,,,,,,,,,,,,,,,,,,
20-24,40944,India,,,,,,,,,,,,,,,,,,,
25-29,<2,Russia,,,,,,,,,,,,,,,,,,,
,,Africa,,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,Italy,,,,,,,,,,,,,,,,,,,
20-24,41070,United Kingdom,,,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
,,Other Europe,,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,,
30-34,41070,United States of America,,,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
< 20,<2,United States of America,,,,,,,Objective-C,,,,,,,,,,,Mac OS X,Start Up (1-25)
,,Other Asia,,,,,,,,,,,,,,,,,,,
20-24,40944,Russia,,,,,,,,,,,,,,,,,,,
< 20,40944,Middle East,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
25-29,40944,United States of America,,,,,,,,,,,,,,,,,,,
25-29,11,Other Europe,,,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
,,United Kingdom,,,,,,,,,,,,,,,,,,,
25-29,<2,India,,,,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,,,,
30-34,41070,India,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
,,Russia,,,,,,,,,,,,,,,,,,,
20-24,40944,Canada,,,,,,,,,,,,,,,,,,,
25-29,40944,Germany,,,,,,,,,,,,,,,,,,,Start Up (1-25)
,,Other Asia,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,40944,Other Asia,,,,,,,,,,,,,,,,,,,
40-50,11,United States of America,,,,,,,,,,,,,,,,,,,
25-29,<2,India,,,,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
30-34,41070,India,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
25-29,40944,United States of America,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
25-29,40944,Other Asia,,,,,,,,,,,,,,,,,,,Start Up (1-25)
25-29,40944,Other Europe,,,,,,,,,,,,,,,,,,,
35-39,11,Italy,,,,,,,,,,,,,,,,,,,
25-29,40944,India,,,,,,,,,,,,,,,,,,,
,,Africa,,,,,,,,,,,,,,,,,,,
,,Middle East,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
25-29,40944,Other Asia,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
