string_field_3,string_field_5,string_field_0,string_field_7,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_51,string_field_52,string_field_53,string_field_4,string_field_67,string_field_9
25-29,2/5/2014,Pakistan,"$20,000 - $40,000",,,,,,,,,,,,,Male,,16-30
40-50,11,United Kingdom,Rather not say,,,,,,,,,,,,,Male,,
40-50,11,Sweden,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
,,Russia,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,Saudi Arabia,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
35-39,11,United States,Rather not say,,,,,,,,,,,,,Male,,100
20-24,2/5/2014,United States,Student / Unemployed,,,,Java,,,Objective-C,PHP,Python,,,,Male,Mac OS X,1/5/2014
20-24,<2,Greece,Student / Unemployed,,,,,,,,,,,,,Male,,
25-29,11,Germany,,,,,,,,,,,,,,Male,,100
35-39,11,United Kingdom,Rather not say,,,,,,,,,,,,,Male,,16-30
20-24,<2,United Kingdom,Student / Unemployed,,,,,,,,,,,,,Male,,31-50
30-34,11,India,,,,,,,,,,,,,,Prefer not to disclose,Windows 7,
25-29,2/5/2014,Brazil,"<$20,000",,,,,,,,,,,,,Male,,6/15/2014
20-24,2/5/2014,Poland,"<$20,000",,,,,,,,,,,,,Male,,31-50
< 20,<2,Netherlands,,,,,,,,,,,,,,Male,,
25-29,2/5/2014,Romania,"<$20,000",,,,,,,,,,,,,Male,,6/15/2014
40-50,11,United States,"$120,000 - $140,000",,,,,,,,,,,,,Prefer not to disclose,,100
25-29,2/5/2014,Germany,Rather not say,,,,,,,,,,,,,Male,,31-50
25-29,6/10/2014,Belgium,"$20,000 - $40,000",,,,,,,,,,,,,Male,,1/5/2014
51-60,11,United States,"$80,000 - $100,000",,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,Brazil,Rather not say,,,,,,,,,,,,,Male,,6/15/2014
25-29,2/5/2014,Canada,Rather not say,,,,,,,,,,,,,Male,,100
20-24,<2,Malaysia,"<$20,000",,,,,,,,,,,,,Male,,16-30
,,United States,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
,,Vietnam,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,Pakistan,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,
35-39,11,United States,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,India,Rather not say,,,,,,,,,,,,,Male,,100
25-29,2/5/2014,United States,,,,,,,,,,,,,,Male,,
20-24,<2,India,"<$20,000",,,,,,,,,,,,,Female,,
20-24,2/5/2014,Turkey,Student / Unemployed,C,C++,,Java,JavaScript,,,PHP,,,SQL,,Male,Windows 7,
20-24,2/5/2014,Greece,Student / Unemployed,C,,,,,,,,,,,Haskell,Male,Ubuntu,
20-24,<2,India,,,,,,,,,,,,,,Male,,
25-29,2/5/2014,Canada,,,,,,,,,,,,,,Male,,50-100
20-24,2/5/2014,Saudi Arabia,,,,,,,,,,,,,,Male,,1/5/2014
30-34,6/10/2014,Australia,,,,,,,,,,,,,,Male,,
25-29,6/10/2014,Australia,"$60,000 - $80,000",,,,,,,,,,,,,Male,,6/15/2014
40-50,11,Germany,Rather not say,,,,,,,,,,,,,Male,,100
40-50,11,United States,"$80,000 - $100,000",,,,,,,,,,,,,Male,,1/5/2014
30-34,11,India,"$20,000 - $40,000",,,,,,,,,,,,,Male,,6/15/2014
,,Austria,,,,,,,,,,,,,,,,
,,Ecuador,,,,,,,,,,,,,,,,
,,Israel,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,Ireland,,,,,,,,,,,,,,,,
,,Argentina,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
25-29,2/5/2014,United States,"$20,000 - $40,000",,,,,,,,,,,,,Female,,100
20-24,<2,India,Student / Unemployed,C,C++,,Java,,,,PHP,,Ruby,,,Male,Mint,
20-24,2/5/2014,Germany,Student / Unemployed,C,C++,,,JavaScript,Node.js,,,,Ruby,,Haskell,Male,Windows 8,
25-29,2/5/2014,Switzerland,"$40,000 - $60,000",,,,,,,,,,,,,Male,,100
25-29,<2,United States,"<$20,000",,,,,,,,,,,,,Female,,1/5/2014
35-39,6/10/2014,United States,">$140,000",,,,,,,,,,,,,Male,,1/5/2014
< 20,6/10/2014,United States,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
20-24,6/10/2014,Ghana,"<$20,000",,,,,,,,,,,,,Male,,1/5/2014
25-29,2/5/2014,United States,"$80,000 - $100,000",,,,,,,,,,,,,Male,,31-50
25-29,2/5/2014,India,"<$20,000",,,,,,,,,,,,,Male,,1/5/2014
35-39,11,India,Rather not say,,,,,,,,,,,,,Male,,100
30-34,<2,United Kingdom,,,,,,,,,,,,,,Male,,1/5/2014
25-29,<2,United States,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
25-29,2/5/2014,France,"$20,000 - $40,000",,,,,,,,,,,,,Male,,
,,Germany,,,,,,,,,,,,,,,,
,,Japan,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
25-29,11,Armenia,,,,,Java,,,,,,,,,Male,Mint,6/15/2014
< 20,<2,United States,Student / Unemployed,,,,,,,,,Python,,,,Male,Windows 7,
25-29,11,Taiwan,Student / Unemployed,,,,,,,,,,,,,Male,,16-30
< 20,<2,Turkey,Student / Unemployed,C,,,,,,,,,,,,Male,Windows 8,
25-29,2/5/2014,Russia,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,<2,Nepal,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
20-24,<2,India,"<$20,000",C,,,Java,JavaScript,,,PHP,,,SQL,,Female,Windows 7,1/5/2014
< 20,<2,United States,Student / Unemployed,,,,Java,,,,,,,,,Male,Windows 7,
< 20,2/5/2014,Canada,Student / Unemployed,,,,Java,,,,,,,,,Female,Windows 7,
20-24,2/5/2014,Czech Republic,Student / Unemployed,,C++,,Java,,,,,,,,,Male,Windows 8,
20-24,<2,France,"$40,000 - $60,000",C,C++,,,,,,,,,,,Male,Debian,1/5/2014
20-24,6/10/2014,India,Rather not say,,,,,,,,,,,,,Male,,100
30-34,6/10/2014,India,,,,,,,,,,,,,,Male,,
25-29,6/10/2014,Russia,"$40,000 - $60,000",,,,,,,,,,,,,Male,,
< 20,2/5/2014,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
30-34,6/10/2014,United Arab Emirates,"$20,000 - $40,000",,,,,,,,,,,,,Male,,100
20-24,<2,Greece,Student / Unemployed,,,,,,,,,Python,,,,Male,Mac OS X,1/5/2014
20-24,<2,United States,Student / Unemployed,,,,Java,JavaScript,,,,Python,,SQL,,Male,Mac OS X,
20-24,2/5/2014,Netherlands,Student / Unemployed,,,,,,,,,,,,,Male,,6/15/2014
20-24,<2,India,Rather not say,,,,,,,,,,,,,Male,,
35-39,11,United Kingdom,"$80,000 - $100,000",,,,,,,,,,,,,Male,,1/5/2014
40-50,11,United States,Rather not say,,,,,,,,,,,,,Male,,
20-24,<2,India,Rather not say,,,,,,,,,,,,,Male,,16-30
30-34,2/5/2014,Saudi Arabia,Rather not say,,,,,,,,,,,,,Prefer not to disclose,,6/15/2014
,,United States,,,,,,,,,,,,,,,,
,,Austria,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
30-34,<2,Algeria,"<$20,000",,,,,,,,,,,,,Male,,1/5/2014
30-34,<2,Estonia,,,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,
30-34,11,United States,">$140,000",,,,,,,Objective-C,,,,,,Male,Mac OS X,100
25-29,2/5/2014,Slovakia,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,2/5/2014,United States,,,,,,,,,,,,,,Male,,
20-24,2/5/2014,Germany,"<$20,000",,,,,,,,,,,,,Male,,
< 20,<2,India,"<$20,000",C,,,Java,JavaScript,,,,Python,,,"Assembly, WebGL",Male,Windows 8,
< 20,2/5/2014,United States,Student / Unemployed,,,C#,Java,JavaScript,Node.js,,PHP,,,SQL,HTML/CSS,Male,Windows 8,1/5/2014
< 20,2/5/2014,India,Student / Unemployed,,C++,,Java,,,,,,,,,Male,Ubuntu,
< 20,<2,United States,Student / Unemployed,,,,,,Node.js,,,,,,,Female,Windows 8,
< 20,<2,Ukraine,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
< 20,2/5/2014,India,Student / Unemployed,,,,,JavaScript,,,PHP,Python,,SQL,,Male,Ubuntu,
25-29,2/5/2014,United States,"$40,000 - $60,000",,,,,,,,,,,,,Male,,6/15/2014
25-29,2/5/2014,India,,,,,Java,,,,,,,,,Male,Windows 7,100
< 20,<2,Canada,"$20,000 - $40,000",,,,,,,,,,,,,Male,,1/5/2014
35-39,6/10/2014,United States,"$60,000 - $80,000",,,,,,,,,,,,,Male,,1/5/2014
25-29,2/5/2014,India,,C,,,,JavaScript,,,PHP,,,SQL,,Male,,
25-29,11,Austria,,,,C#,,,,,PHP,,,SQL,,Male,Windows 7,
25-29,2/5/2014,India,"<$20,000",C,,,,,,,,Python,,,,Male,Windows 7,
,,China,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
,,Poland,,,,,,,,,,,,,,,,
,,Ukraine,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
,,Russia,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
35-39,11,Hong Kong,"$120,000 - $140,000",,,,,,,,,,,,,Male,,100
< 20,2/5/2014,Canada,,,,,,,,,,,,,,Male,,
20-24,<2,Italy,Student / Unemployed,,,,,JavaScript,,,,,,,,Male,Mac OS X,
< 20,2/5/2014,Iran,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,<2,Canada,Student / Unemployed,,,,Java,,,,,,,,,Male,Windows 7,
20-24,<2,India,Student / Unemployed,,C++,C#,Java,JavaScript,,,,,,SQL,,Male,Windows XP,1/5/2014
< 20,<2,Singapore,Student / Unemployed,,,,,,,,,Python,,,,Male,Windows 7,
< 20,<2,Pakistan,Student / Unemployed,,C++,,,,,,,,,,,Male,Windows 7,
25-29,11,Ireland,Student / Unemployed,,,,,,,,,,,,,Male,,
35-39,11,Austria,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
20-24,<2,India,"<$20,000",,,,,,,,,,,,,Male,,6/15/2014
35-39,11,Iran,"$20,000 - $40,000",,,,,,,,,,,,,Male,,
30-34,6/10/2014,Sweden,"$20,000 - $40,000",,,,,,,,,,,,,Male,,
20-24,<2,France,Student / Unemployed,,,,,,,,,,,,,Male,,
30-34,6/10/2014,Spain,"$20,000 - $40,000",,,,,,,,,,,,,Male,,1/5/2014
25-29,<2,United States,"<$20,000",,,,,,,,,,,,,Male,,6/15/2014
25-29,6/10/2014,United States,">$140,000",,,,,,,,,,,,,Male,,100
25-29,2/5/2014,Russia,Student / Unemployed,,,,,JavaScript,,,PHP,,Ruby,SQL,,Male,Mac OS X,1/5/2014
,,New Zealand,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,
,,Australia,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,
25-29,2/5/2014,Canada,"$60,000 - $80,000",,,,,,,,,,,,,Male,,6/15/2014
20-24,<2,India,,,,,,,,,,,,,,Male,,100
30-34,2/5/2014,United Kingdom,Rather not say,,,,,,,,,,,,,Male,,100
20-24,2/5/2014,Turkey,"$20,000 - $40,000",,,,,,,,,,,,,Prefer not to disclose,,100
25-29,2/5/2014,India,,,,,,,,,,,,,,Male,,
< 20,<2,United Kingdom,Student / Unemployed,,,,,,,,,,,,,Male,,16-30
20-24,<2,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,<2,Canada,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
20-24,<2,Jordan,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,<2,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,2/5/2014,Finland,,C,,,,,,,,,,,D,Male,Linux,
20-24,<2,Australia,Student / Unemployed,,,,,,,,,Python,,,,Female,Windows 7,
25-29,2/5/2014,Germany,"<$20,000",,,,,,,,,,,,,Male,,1/5/2014
25-29,<2,India,"<$20,000",,,,,,,,,,,,,Male,,50-100
20-24,2/5/2014,United Kingdom,Student / Unemployed,,,,,,,,,,,,,Male,,
30-34,6/10/2014,Hong Kong,Rather not say,,,,,,,,,,,,,Male,,6/15/2014
25-29,6/10/2014,United States,Rather not say,,,,,,,,,,,,,Male,,
25-29,2/5/2014,United States,,C,,C#,Java,,,,,,,,,Male,Linux,100
25-29,2/5/2014,United Kingdom,"$60,000 - $80,000",,,,,,,,,,,,,Male,,1/5/2014
30-34,<2,Italy,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
30-34,6/10/2014,Argentina,"<$20,000",,,,,JavaScript,,,,Python,,SQL,,Male,Linux,6/15/2014
30-34,2/5/2014,Greece,,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
35-39,11,France,"$80,000 - $100,000",,,,,,,,,,,,,Male,,100
25-29,11,United Kingdom,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
30-34,6/10/2014,France,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
25-29,6/10/2014,Italy,"$20,000 - $40,000",,,,,,,,,,,,,Male,,16-30
20-24,<2,India,"<$20,000",,,,,,,,,,,,,Male,,100
25-29,2/5/2014,Ukraine,"$20,000 - $40,000",,,,,,,,,,,,,Male,,31-50
,,India,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,
,,Spain,,,,,,,,,,,,,,,,
,,Ukraine,,,,,,,,,,,,,,,,
,,Russia,,,,,,,,,,,,,,,,
< 20,2/5/2014,Canada,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,<2,United States,,,,,,,,,,,,,,Male,,
25-29,2/5/2014,Germany,Rather not say,,,,,,,,,,,,,Male,,100
< 20,6/10/2014,Egypt,Student / Unemployed,,,,,,,,,,,,,Female,,
< 20,<2,Italy,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
< 20,2/5/2014,India,Student / Unemployed,C,C++,,,JavaScript,,,,Python,Ruby,,,Male,Windows 8,
< 20,11,Poland,Student / Unemployed,,C++,,,,,,,Python,,,,Male,Ubuntu,
< 20,<2,Sweden,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,2/5/2014,Finland,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,2/5/2014,United Kingdom,Rather not say,,,,,,,,,,,,,Male,,
30-34,6/10/2014,Chile,,,,,,,,,,,,,,Male,,6/15/2014
20-24,2/5/2014,United States,"$60,000 - $80,000",,,,,,,,,,,,,Female,,6/15/2014
35-39,11,Italy,"$40,000 - $60,000",,,,,,,,,,,,,Male,,6/15/2014
25-29,6/10/2014,Israel,"$20,000 - $40,000",,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,Russia,"<$20,000",,,C#,,JavaScript,,,,,,,,Male,Windows 7,31-50
20-24,<2,Colombia,"$20,000 - $40,000",,,,,,,,,,,,,Male,,6/15/2014
20-24,<2,India,"<$20,000",,,,,,,,,,,,,Female,,
35-39,11,United Kingdom,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
,,United Kingdom,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
35-39,11,United Kingdom,"$80,000 - $100,000",,,,,,,,,,,,,Male,,
20-24,2/5/2014,Australia,">$140,000",,,,,,,,,,,,,Male,,100
< 20,6/10/2014,Netherlands,Student / Unemployed,,,,,,,,,,,,,Male,,100
20-24,<2,Algeria,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,6/10/2014,United Kingdom,Student / Unemployed,,,,,,,,,,,,,Male,,16-30
< 20,<2,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,2/5/2014,Switzerland,Student / Unemployed,C,C++,,Java,JavaScript,,Objective-C,PHP,,,SQL,,Male,Mac OS X,
20-24,2/5/2014,United Kingdom,Student / Unemployed,,,,Java,JavaScript,,,PHP,,,SQL,,Male,Windows 8,1/5/2014
< 20,2/5/2014,United States,Student / Unemployed,,,,,JavaScript,,Objective-C,PHP,,,SQL,,Male,Mac OS X,
20-24,<2,Austria,Student / Unemployed,C,C++,C#,,,,,,,,SQL,,Male,Linux,
20-24,2/5/2014,France,Student / Unemployed,,,,,,,,,,,,,Male,,
25-29,6/10/2014,Sri Lanka,Rather not say,,,,,,,,,,,,,Male,,31-50
20-24,2/5/2014,India,Rather not say,,,,,,,,,,,,,Male,,50-100
20-24,2/5/2014,India,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,,Female,Windows 7,16-30
25-29,2/5/2014,India,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Female,Windows 7,6/15/2014
20-24,2/5/2014,India,"<$20,000",,,,,JavaScript,,,PHP,,,,,Male,Fedora,6/15/2014
20-24,<2,India,Rather not say,,,,,,,,,,,,,Male,,100
25-29,2/5/2014,Canada,,,,C#,,JavaScript,,Objective-C,PHP,,,SQL,,Male,Mac OS X,1/5/2014
25-29,6/10/2014,Netherlands,"<$20,000",,,,,,,,,,,,,Male,,1/5/2014
< 20,<2,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
25-29,6/10/2014,Russia,"$80,000 - $100,000",,,,,,,,,,,,,Male,,6/15/2014
25-29,2/5/2014,India,Rather not say,,,C#,,JavaScript,Node.js,,,,,SQL,,Male,Windows 7,100
30-34,6/10/2014,United Kingdom,Rather not say,,,,,,,,,,,,,Male,,
25-29,2/5/2014,Peru,"<$20,000",,C++,C#,,,,,PHP,,,SQL,"Visual Basic, PeopleCode, Haskell",Male,Linux,16-30
25-29,6/10/2014,India,Rather not say,,,,,,,,,,,,,Prefer not to disclose,,
25-29,6/10/2014,Poland,,,,,,,,,,,,,,Male,,100
< 20,<2,Kuwait,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
20-24,<2,India,"<$20,000",,,,,,,,,,,,,Male,,1/5/2014
25-29,2/5/2014,Germany,"$60,000 - $80,000",C,C++,C#,,,,,,,,,,Male,Windows 7,100
35-39,11,India,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
,,Argentina,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
40-50,2/5/2014,Israel,,,,,,,,,,,,,,Male,,
25-29,2/5/2014,Malaysia,">$140,000",,,,,,,,,,,,,Male,,50-100
< 20,2/5/2014,Canada,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
25-29,6/10/2014,Austria,Rather not say,,,,,,,,,,,,,Male,,31-50
< 20,6/10/2014,United Kingdom,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
20-24,6/10/2014,Germany,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,2/5/2014,Pakistan,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,11,Switzerland,Student / Unemployed,,,,,,,,,,,,,Male,,
35-39,<2,Netherlands,Rather not say,,,,,,,,,,,,,Male,,
25-29,6/10/2014,Belgium,,,,,,,,,,,,,,Male,,1/5/2014
40-50,11,Canada,Student / Unemployed,,,,,,,,,,,,,Female,,100
20-24,2/5/2014,India,,,,,,,,,,,,,,Female,,100
20-24,2/5/2014,Romania,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
25-29,2/5/2014,United Kingdom,"$20,000 - $40,000",,,,,,,,,,,,,Male,,6/15/2014
25-29,2/5/2014,India,Rather not say,,,,Java,JavaScript,,,,,,SQL,,Male,Windows 8,1/5/2014
20-24,2/5/2014,United Kingdom,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
25-29,2/5/2014,Ukraine,,,,,,,,,,,,,,Male,,
25-29,2/5/2014,Spain,"$20,000 - $40,000",,,,Java,JavaScript,,,,Python,,SQL,,Male,Linux,6/15/2014
30-34,6/10/2014,United States,"$60,000 - $80,000",,,,,,,,,,,,,Male,,100
25-29,2/5/2014,India,"<$20,000",,,,,,,Objective-C,,,,,,Male,Mac OS X,100
,,India,,,,,,,,,,,,,,,,
,,Romania,,,,,,,,,,,,,,,,
,,Austria,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,
,,Slovenia,,,,,,,,,,,,,,,,
,,Algeria,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,,,,,,
,,Poland,,,,,,,,,,,,,,,,
